_MODEL_;_PRICE_;_QUANTITY_
10272;56.00;42
11699;53.00;42
11137;99.00;84
40106;69.00;12
40134;89.00;25
11143;79.00;36
11443;75.00;24
11594;88.00;29
11142;82.00;57
11442;79.00;6
11593;92.00;16
11141;86.00;51
11444;82.00;22
11445;85.00;21
11145;70.00;4
11140;89.00;39
11139;160.00;22
10273;62.00;79
10292;55.00;21
10291;185.00;7
12551;39.00;51
12550;39.00;47
11885;39.00;52
12552;39.00;47
13556;39.00;49
12757;39.00;69
40068;39.00;46
11889;72.00;59
13078;76.00;13
12759;76.00;26
40063;95.00;50
11878;99.00;2
11887;66.00;13
13080;61.00;11
13081;50.00;17
13708;88.00;46
13919;63.00;57
13712;56.00;47
13567;56.00;46
12549;56.00;1
13312;56.00;39
13091;55.00;10
12768;55.00;1
12758;55.00;11
40061;299.00;7
11883;53.00;73
13309;56.00;15
13088;56.00;13
13555;56.00;19
13602;89.00;5
13854;89.00;1
13603;89.00;1
13604;89.00;8
13605;89.00;3
13606;89.00;5
13607;89.00;5
13608;89.00;3
13852;89.00;5
13853;89.00;6
13937;36.00;1
10177;165.00;2
10176;165.00;2
10178;165.00;4
10181;169.00;2
12052;100.00;5
12053;100.00;5
12049;100.00;3
12048;100.00;5
12045;100.00;4
12403;100.00;4
12046;100.00;4
12047;100.00;4
12043;100.00;5
12401;100.00;5
12044;100.00;3
12051;100.00;5
12050;100.00;5
12402;100.00;5
12874;120.00;5
12399;100.00;5
12400;100.00;6
12054;100.00;3
12055;100.00;4
12042;100.00;5
12061;120.00;5
12063;120.00;3
12062;120.00;4
12398;140.00;2
12065;120.00;3
12060;120.00;3
12066;120.00;5
12067;120.00;3
13752;140.00;3
12057;120.00;5
12058;120.00;4
12059;120.00;5
10762;180.00;5
10772;949.00;1
13023;259.00;9
10318;12.00;20
10316;18.00;90
12116;15.00;601
10313;20.00;94
11781;279.00;5
11970;239.00;4
11976;299.00;4
10842;369.00;2
40093;349.00;4
13658;55.00;1
13539;129.00;5
11090;65.00;102
11092;110.00;160
11093;160.00;2
11097;200.00;9
11088;45.00;242
11105;220.00;3
11094;250.00;1
11496;205.00;3
10312;119.00;1
13310;239.00;4
11715;95.00;1
13095;3.00;8
13094;3.00;26
12924;435.00;2
10491;585.00;1
11952;220.00;1
11470;155.00;10
11717;260.00;5
11384;195.00;2
11383;215.00;2
11704;245.00;6
11382;265.00;5
11379;194.00;8
12885;245.00;4
40022;145.00;8
40021;225.00;4
11650;280.00;6
11770;259.00;4
13648;169.00;5
12785;269.00;9
13649;179.00;5
40108;589.00;1
40109;689.00;3
13650;189.00;10
11961;135.00;7
12374;169.00;2
10832;279.00;1
12385;245.00;1
40000;420.00;4.153
40097;295.00;22
10766;320.00;1
13166;105.00;4
12738;105.00;5
12739;105.00;3
12740;105.00;6
10032;105.00;5
10009;185.00;4
12741;105.00;5
12742;105.00;4
12743;105.00;7
12744;105.00;4
12745;105.00;6
10002;105.00;52
10007;185.00;21
10000;295.00;4
10001;580.00;4
11909;105.00;5
10024;185.00;2
13502;105.00;3
13503;105.00;6
10005;105.00;12
10016;185.00;1
10003;105.00;21
40125;105.00;6
10022;185.00;3
11300;105.00;7
11910;105.00;5
10018;185.00;1
13504;105.00;8
11528;185.00;3
10011;185.00;4
10012;185.00;1
11911;105.00;6
10017;185.00;3
13505;105.00;5
10008;220.00;2
10006;125.00;4
13576;175.00;9
10035;195.00;4
10034;1600.00;6
10040;195.00;7
10043;195.00;4
10044;195.00;4
10041;195.00;8
10042;195.00;2
10039;195.00;2
12696;195.00;6
13158;195.00;4
10046;195.00;8
10045;195.00;2
10038;195.00;6
10037;195.00;6
11713;95.00;3
13303;95.00;2
11936;195.00;3
30018;12.00;459
30017;20.00;168
10684;10.00;98
12260;135.00;2
13165;9.00;90
12716;13.00;74
12717;17.00;92
12821;20.00;90
