Наименование;Наименование артикула;Артикул;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Цвет;Объем встроенной памяти;Размер;Изображения;Изображения
Картоная упаковка с ручкой 20х20х22 см;12270;12270;RUB;65;1;;;19;;;;1;;;;;;;;;;;;;
Картоная упаковка с ручкой 220*220*240 мм;222224;222224;RUB;60;1;;;12;;;;1;;;;;;;;;;;;;
Квадрат для выпечки L=14см H=10см;13118;13118;RUB;515;1;;;3;;;;1;;;;;;;;;;;;;
Квадрат для выпечки L=16см H=10см;13119;13119;RUB;585;1;;;3;;;;1;;;;;;;;;;;;;
Квадрат для выпечки L=18см H=10см;13120;13120;RUB;615;1;;;3;;;;1;;;;;;;;;;;;;
Квадрат для выпечки L=20см H=10см;13121;13121;RUB;665;1;;;2;;;;1;;;;;;;;;;;;;
Квадрат для выпечки L=22см H=10см;13461;13461;RUB;735;1;;;3;;;;1;;;;;;;;;;;;;
Квадрат для выпечки L=24см H=10см;13122;13122;RUB;795;1;;;3;;;;1;;;;;;;;;;;;;
Квадрат для выпечки перфированный 12х12см h=2см;13150;13150;RUB;349;1;;;1;;;;1;;;;;;;;;;;;;
Квадрат для выпечки перфированный 14х14см h=2см;13151;13151;RUB;369;1;;;1;;;;1;;;;;;;;;;;;;
Квадрат раздвижной 16-29см высота 8см;;;RUB;990;1;;;3;;;;1;;;;;;;;;;;;;
Кисточка с натуральным пером3 шт;10710;10710;RUB;219;1;;;7;;;;1;;;;;;;;;;;;;
Кисточки 6 шт;10709;10709;RUB;270;1;;;4;;;;1;;;;;;;;;;;;;
Клубника пюре 1000 гр AGROBAR;;;RUB;489;1;;;2;;;;1;;;;;;;;;;;;;
Клубника пюре 250 гр;13647;13647;RUB;145;1;;;9;;;;1;;;;;;;;;;;;;
Клубника сублимационной сушки Порошок;12779;12779;RUB;199;1;;;8;;;;1;;;;;;;;;;;;;
Клубника сублимационной сушки Слайсы 30гр;12746;12746;RUB;209;1;;;3;;;;1;;;;;;;;;;;;;
Клубника сублимированной сушки 1-5 мм 40 гр;13498;13498;RUB;230;1;;;2;;;;1;;;;;;;;;;;;;
Клубника сублимированной сушки 5-10мм 40 гр;12145;12145;RUB;205;1;;;5;;;;1;;;;;;;;;;;;;
Коврик  армированный для Эклера 60х40;12128;12128;RUB;830;1;;;3;;;;1;;;;;;;;;;;;;
Коврик  армированный для эклеров 30х40;12127;12127;RUB;445;1;;;3;;;;1;;;;;;;;;;;;;
Коврик Силиконовый для теста и мастики 26х38 см;12946;12946;RUB;355;1;;;1;;;;1;;;;;;;;;;;;;
Коврик Силиконовый для теста и мастики 40х44 см;12945;12945;RUB;465;1;;;2;;;;1;;;;;;;;;;;;;
Коврик Силиконовый для теста и мастики 40х58 см;12943;12943;RUB;445;1;;;1;;;;1;;;;;;;;;;;;;
Коврик Силиконовый для теста и мастики 45х64 см;12944;12944;RUB;745;1;;;1;;;;1;;;;;;;;;;;;;
Коврик армированный с разметкой 40х60см;11741;11741;RUB;859;1;;;8;;;;1;;;;;;;;;;;;;
Коврик армировоный 30х40см NEW;13211;13211;RUB;375;1;;;15;;;;1;;;;;;;;;;;;;
Коврик армировоный 60х40см NEW;13212;13212;RUB;699;1;;;2;;;;1;;;;;;;;;;;;;
Коврик для Макаронс 30х40 см;10872;10872;RUB;420;1;;;2;;;;1;;;;;;;;;;;;;
Коврик силикон с дирками Белый 30х40 см;12933;12933;RUB;315;1;;;5;;;;1;;;;;;;;;;;;;
Коврик силикон с дирками Белый 60х40 см;12934;12934;RUB;385;1;;;5;;;;1;;;;;;;;;;;;;
Коврик силиконовый армированный 40х60;11473;11473;RUB;785;1;;;3;;;;1;;;;;;;;;;;;;
Коврик силиконовый круг 33см;12939;12939;RUB;395;1;;;5;;;;1;;;;;;;;;;;;;
Кокос пюре 250 гр;40056;40056;RUB;189;1;;;2;;;;1;;;;;;;;;;;;;
Кокосовая стружка 300 гр;0121;0121;RUB;175;1;;;5;;;;1;;;;;;;;;;;;;
Колцо раздвижное 6-10см;12318;12318;RUB;155;1;;;2;;;;1;;;;;;;;;;;;;
Кольцо для выпечки D-12см h-10см;12634;12634;RUB;379;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки D-12см h-12см;11418;11418;RUB;399;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-12 h-8;12635;12635;RUB;319;1;;;2;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-14 h-12;12015;12015;RUB;469;1;;;2;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-16 h-8;12001;12001;RUB;359;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-18 h-10;12008;12008;RUB;489;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-18 h-12;12017;12017;RUB;559;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-20 h-12;12018;12018;RUB;525;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-20 h-8;12003;12003;RUB;459;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-24 h-10;12011;12011;RUB;629;1;;;3;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-26 h-10;;;RUB;645;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-30 h-10;12014;12014;RUB;779;1;;;2;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-30 h-8;13107;13107;RUB;729;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-35 h-10;13108;13108;RUB;989;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки d-40 h-10;13109;13109;RUB;1050;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки перфорированое D-16см h-2;13116;13116;RUB;319;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки перфорированое D-18см h-2;13117;13117;RUB;329;1;;;1;;;;1;;;;;;;;;;;;;
Кольцо для выпечки перфорированое D-8см h-2;11269;11269;RUB;219;1;;;6;;;;1;;;;;;;;;;;;;
Кольцо раздвижной 16-30см Высота 12см;;;RUB;990;1;;;3;;;;1;;;;;;;;;;;;;
Кондитерская глазурь со вкусом Апельсина 200 гр;12392;12392;RUB;75;1;;;5;;;;1;;;;;;;;;;;;;
Кондитерская глазурь со вкусом Голубики 200 гр;12394;12394;RUB;75;1;;;5;;;;1;;;;;;;;;;;;;
Кондитерская глазурь со вкусом Клубники со сливками 200 гр;12395;12395;RUB;85;1;;;7;;;;1;;;;;;;;;;;;;
Кондитерская глазурь со вкусом Крем-Брюле 200 гр;12396;12396;RUB;75;1;;;6;;;;1;;;;;;;;;;;;;
Кондитерская глазурь со вкусом Манго 200 гр;13135;13135;RUB;75;1;;;6;;;;1;;;;;;;;;;;;;
Кондитерская глазурь со вкусом Яблока 200 гр;12397;12397;RUB;75;1;;;7;;;;1;;;;;;;;;;;;;
Кондитерская посыпка Миксон 60гр;12192;12192;RUB;135;1;;;6;;;;1;;;;;;;;;;;;;
Кондитерская проволка зеленая  40 см 10 шт;13517;13517;RUB;39;1;;;1;;;;1;;;;;;;;;;;;;
Кондитерская упаковка с окном, 22.5х22.5х11 см;222211;222211;RUB;57;1;;;12;;;;1;;;;;;;;;;;;;
Кондитерская упаковка с окном, 22.5х22.5х6 см;22226;22226;RUB;49;1;;;22;;;;1;;;;;;;;;;;;;
Конус 11см 8шт;12928;12928;RUB;285;1;;;3;;;;1;;;;;;;;;;;;;
Корбка под торт премиум 260х260х280мм золото;262628З;262628З;RUB;249;1;;;6;;;;1;;;;;;;;;;;;;
Корица молотая 80 гр;10744;10744;RUB;70;1;;;3;;;;1;;;;;;;;;;;;;
Корица палочки Индонезия;;;RUB;69;1;;;5;;;;1;;;;;;;;;;;;;
Коробка Табокс с окошком 10х8x3;0091;0091;RUB;8;1;;;96;;;;1;;;;;;;;;;;;;
Коробка Табокс с окошком 20х12х4 см;0092;0092;RUB;22;1;;;98;;;;1;;;;;;;;;;;;;
Коробка Табокс с окошком 20х20х4 см;0093;0093;RUB;28;1;;;69;;;;1;;;;;;;;;;;;;
Коробка Табокс с окошком 20х20х5 см pro1555;13751;13751;RUB;29;1;;;50;;;;1;;;;;;;;;;;;;
Коробка для  торта 32х32х35см без окна;;;RUB;95;1;;;23;;;;1;;;;;;;;;;;;;
Коробка для зефира с пласт кришкой 250х150х70мм Белая;12764;12764;RUB;53;1;;;33;;;;1;;;;;;;;;;;;;
Коробка для зефира с пласт кришкой 250х150х70мм Красная матовая;;;RUB;57;1;;;48;;;;1;;;;;;;;;;;;;
Коробка для зефира с пласт кришкой 250х150х70мм розовая матовая;13089;13089;RUB;57;1;;;43;;;;1;;;;;;;;;;;;;
Коробка для конфет 190х150х30мм12 ячеек;12754;12754;RUB;59;1;;;50;;;;1;;;;;;;;;;;;;
Коробка для конфет 200х200х30 16 белая;13554;13554;RUB;63;1;;;5;;;;1;;;;;;;;;;;;;
Коробка для конфет с кришкой 160х160х30мм 9 крафт;16163K;16163K;RUB;51;1;;;63;;;;1;;;;;;;;;;;;;
Коробка для конфет с крышкой 160х160х30мм 9 Золото;13550;13550;RUB;59;1;;;47;;;;1;;;;;;;;;;;;;
Коробка для конфет с крышкой 160х160х30мм 9 Тиффани;13552;13552;RUB;58;1;;;45;;;;1;;;;;;;;;;;;;
Коробка для конфет с крышкой 160х160х30мм 9 белая;16163Б;16163Б;RUB;53;1;;;49;;;;1;;;;;;;;;;;;;
Коробка для конфет с крышкой 160х160х30мм 9 красная;13551;13551;RUB;58;1;;;37;;;;1;;;;;;;;;;;;;
Коробка для конфет с крышкой 160х160х30мм 9 розовая;13553;13553;RUB;58;1;;;30;;;;1;;;;;;;;;;;;;
Коробка для конфет с крышкой 160х160х30мм 9 серебро;16163C;16163C;RUB;56;1;;;38;;;;1;;;;;;;;;;;;;
Коробка для макарунс с прямоугольным окном 210х100х50мм Крафт;12766;12766;RUB;41;1;;;16;;;;1;;;;;;;;;;;;;
Коробка для макарунс с прямоугольным окном 210х100х50мм Розовая матовая;13093;13093;RUB;44;1;;;46;;;;1;;;;;;;;;;;;;
Коробка для макарунс с прямоугольным окном 210х100х50мм Тиффани;13092;13092;RUB;44;1;;;58;;;;1;;;;;;;;;;;;;
Коробка для макарунс с прямоугольным окном 210х100х50мм белая;211055;211055;RUB;41;1;;;39;;;;1;;;;;;;;;;;;;
Коробка для макарунс с прямоугольным окном 210х100х50мм золото;;;RUB;43;1;;;42;;;;1;;;;;;;;;;;;;
Коробка для макарунс с прямоугольным окном 210х100х50мм серебро;;;RUB;43;1;;;50;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 120х120х30мм Белая;13401;13401;RUB;28;1;;;2;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 120х120х30мм Крафт;13400;13400;RUB;28;1;;;16;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 120х120х30мм красная матовая;13726;13726;RUB;28;1;;;24;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 150х150х30мм Белый;13398;13398;RUB;42;1;;;56;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 150х150х30мм Крафт;13399;13399;RUB;42;1;;;3;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 150х150х30мм тиффани;13559;13559;RUB;59;1;;;85;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 200х120х30мм Белый;13402;13402;RUB;37;1;;;52;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 200х120х30мм Крафт;13403;13403;RUB;37;1;;;25;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 200х200х30мм Красный;13397;13397;RUB;42;1;;;17;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 200х200х30мм Крафт;13395;13395;RUB;42;1;;;56;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 200х200х30мм Розовый;13396;13396;RUB;42;1;;;13;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 200х200х30мм тиффани;13562;13562;RUB;47;1;;;18;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 220х150х30мм Белый;13439;13439;RUB;42;1;;;6;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 230х300х30мм Белый;;;RUB;57;1;;;25;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 230х300х30мм Крафт;13389;13389;RUB;57;1;;;29;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 250х150х30мм Белая;13560;13560;RUB;43;1;;;54;;;;1;;;;;;;;;;;;;
Коробка для печенья и пряника 250х150х30мм Крафт;13561;13561;RUB;43;1;;;25;;;;1;;;;;;;;;;;;;
Коробка для пряника 250х250х40мм;13733;13733;RUB;65;1;;;12;;;;1;;;;;;;;;;;;;
Коробка для торта 180х180х100 с окном белая;181810Б;181810Б;RUB;47;1;;;46;;;;1;;;;;;;;;;;;;
Коробка для торта 180х180х100 с окном крафт;181810K;181810K;RUB;47;1;;;45;;;;1;;;;;;;;;;;;;
Коробка для торта 220х220х130;222213;222213;RUB;41;1;;;33;;;;1;;;;;;;;;;;;;
Коробка для торта 28х28х30 см с окном с ручками;282830CP;282830CP;RUB;96;1;;;41;;;;1;;;;;;;;;;;;;
Коробка для торта 30х30х30 с ручками с окном;303030CP;303030CP;RUB;125;1;;;4;;;;1;;;;;;;;;;;;;
Коробка для торта 30х30х30 см с окном с ручками;303030CPA;303030CPA;RUB;95;1;;;1;;;;1;;;;;;;;;;;;;
Коробка для торта 35х35х35 с окном;353535CO;353535CO;RUB;125;1;;;23;;;;1;;;;;;;;;;;;;
Коробка для торта 40х30х12 см;403012CO;403012CO;RUB;92;1;;;24;;;;1;;;;;;;;;;;;;
Коробка для торта Гофрокартон с окном, 30х30х45 см;303045C;303045C;RUB;119;1;;;23;;;;1;;;;;;;;;;;;;
Коробка для торта Гофрокартон с окном, Pasticciere 30х40х26 см;304026CO;304026CO;RUB;145;1;;;16;;;;1;;;;;;;;;;;;;
Коробка для торта Гофрокартон с окном, Pasticciere 32х32х35 см;323235CO;323235CO;RUB;125;1;;;16;;;;1;;;;;;;;;;;;;
Коробка для торта Гофрокартон с окном, Pasticciere 40х40х35 см;;;RUB;159;1;;;9;;;;1;;;;;;;;;;;;;
Коробка для торта Гофрокартон, Pasticciere 30х30х30 см;303030БO;303030БO;RUB;95;1;;;36;;;;1;;;;;;;;;;;;;
Коробка для торта Гофрокартон, Pasticciere 30х40х26 см;304026БO;304026БO;RUB;115;1;;;22;;;;1;;;;;;;;;;;;;
Коробка для торта Гофрокартон, Pasticciere 36х36х26 см;363626БO;363626БO;RUB;119;1;;;2;;;;1;;;;;;;;;;;;;
Коробка для торта без окна, 30х30х19 см.;303019БO;303019БO;RUB;56;1;;;42;;;;1;;;;;;;;;;;;;
Коробка для торта с окном 30х30х13 см;303013CO;303013CO;RUB;53;1;;;42;;;;1;;;;;;;;;;;;;
Коробка для торта с окном 30х30х30 см;303030C;303030C;RUB;99;1;;;84;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 22х22х15 см;;;RUB;69;1;;;12;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 22х22х24 см;;;RUB;89;1;;;25;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 24х24х20 см;242420CP;242420CP;RUB;79;1;;;36;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 24х24х20 см ( бурая );242420CPБ;242420CPБ;RUB;75;1;;;24;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 24х24х26 см;242426CP;242426CP;RUB;88;1;;;29;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 26х26х20 см;262620CP;262620CP;RUB;82;1;;;57;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 26х26х20 см ( бурая );262620CPБ;262620CPБ;RUB;79;1;;;6;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 26х26х28 см;262628CP;262628CP;RUB;92;1;;;16;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 28х28х20 см;282820CP;282820CP;RUB;86;1;;;51;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 28х28х20 см ( бурая );282820CPБ;282820CPБ;RUB;82;1;;;22;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 30х30х19 см (бурая );303019CPБ;303019CPБ;RUB;85;1;;;21;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 30х30х19 см Зелёная;303019CPЗ;303019CPЗ;RUB;70;1;;;4;;;;1;;;;;;;;;;;;;
Коробка для торта с окном и ручками 30х30х20 см;303020CP;303020CP;RUB;89;1;;;39;;;;1;;;;;;;;;;;;;
Коробка для торта с окном,  42х42х45 см;424245CO;424245CO;RUB;160;1;;;22;;;;1;;;;;;;;;;;;;
Коробка для торта с окном, 30х30х19 см.;303019CO;303019CO;RUB;62;1;;;79;;;;1;;;;;;;;;;;;;
Коробка для торта с прозрачной крышкой 22.5х22.5х10 см;222210ПK;222210ПK;RUB;55;1;;;21;;;;1;;;;;;;;;;;;;
Коробка для торта, Pasticciere 60х40х21 см;604021;604021;RUB;185;1;;;7;;;;1;;;;;;;;;;;;;
Коробка для шоколадной плитки 180х90х17мм  Золото;12551;12551;RUB;39;1;;;51;;;;1;;;;;;;;;;;;;
Коробка для шоколадной плитки 180х90х17мм  Крафт;12550;12550;RUB;39;1;;;47;;;;1;;;;;;;;;;;;;
Коробка для шоколадной плитки 180х90х17мм  Серебро;11885;11885;RUB;39;1;;;52;;;;1;;;;;;;;;;;;;
Коробка для шоколадной плитки 180х90х17мм Белая;12552;12552;RUB;39;1;;;47;;;;1;;;;;;;;;;;;;
Коробка для шоколадной плитки 180х90х17мм Розовая;13556;13556;RUB;39;1;;;49;;;;1;;;;;;;;;;;;;
Коробка для шоколадной плитки 180х90х17мм Тиффани;12757;12757;RUB;39;1;;;69;;;;1;;;;;;;;;;;;;
Коробка для шоколадной плитки 180х90х17мм красная;;;RUB;39;1;;;46;;;;1;;;;;;;;;;;;;
Коробка для эклеров и эскимо с окном 250х150х50мм белая;11889;11889;RUB;72;1;;;59;;;;1;;;;;;;;;;;;;
Коробка для эклеров и эскимо с окном 250х150х50мм розовая;13078;13078;RUB;76;1;;;13;;;;1;;;;;;;;;;;;;
Коробка для эклеров и эскимо с окном 250х150х50мм тиффани;12759;12759;RUB;76;1;;;26;;;;1;;;;;;;;;;;;;
Коробка под капкейки на 6 шт премиум с пласт крышкой 235х160х100мм белая;;;RUB;95;1;;;50;;;;1;;;;;;;;;;;;;
Коробка под капкейки на 6 шт премиум с пласт крышкой 235х160х100мм серебро;11878;11878;RUB;99;1;;;2;;;;1;;;;;;;;;;;;;
Коробка под кейк-попсы с пластиковой крышкой 240х110х160мм белая;11887;11887;RUB;66;1;;;13;;;;1;;;;;;;;;;;;;
Коробка под муссовые пирожные с пластиковой крышкой 170*170*60 мм белая;;;RUB;61;1;;;11;;;;1;;;;;;;;;;;;;
Коробка под муссовые пирожные с пластиковой крышкой 260*85*60 мм белая;;;RUB;50;1;;;17;;;;1;;;;;;;;;;;;;
Коробка под муссовые пирожные с пластиковой крышкой 300х195х80 мм белая;13708;13708;RUB;88;1;;;46;;;;1;;;;;;;;;;;;;
Коробка под половинку рулета 210х120х120 белая;;;RUB;63;1;;;57;;;;1;;;;;;;;;;;;;
Коробка под рулет с окном 300х110х80см  Чёрная;13712;13712;RUB;56;1;;;47;;;;1;;;;;;;;;;;;;
Коробка под рулет с окном 300х110х80см  Черри;13567;13567;RUB;56;1;;;46;;;;1;;;;;;;;;;;;;
Коробка под рулет с окном 300х110х80см Белая;12549;12549;RUB;56;1;;;1;;;;1;;;;;;;;;;;;;
Коробка под рулет с окном 300х110х80см Золотая;13312;13312;RUB;56;1;;;39;;;;1;;;;;;;;;;;;;
Коробка под рулет с окном 300х110х80см Розовая матовая;13091;13091;RUB;55;1;;;10;;;;1;;;;;;;;;;;;;
Коробка под рулет с окном 300х110х80см Серебро;12768;12768;RUB;55;1;;;1;;;;1;;;;;;;;;;;;;
Коробка под рулет с окном 300х110х80см Тиффани;12758;12758;RUB;55;1;;;11;;;;1;;;;;;;;;;;;;
Коробка под торт премиум 300х300х280мм золото;;;RUB;299;1;;;7;;;;1;;;;;;;;;;;;;
Коробка премиум с пласт крышкой 200х200х70мм Белая;11883;11883;RUB;53;1;;;73;;;;1;;;;;;;;;;;;;
Коробка премиум с пласт крышкой 200х200х70мм Красная матовая;13309;13309;RUB;56;1;;;15;;;;1;;;;;;;;;;;;;
Коробка премиум с пласт крышкой 200х200х70мм Розовая матовая;13088;13088;RUB;56;1;;;13;;;;1;;;;;;;;;;;;;
Коробка премиум с пласт крышкой 200х200х70мм Серебро;13555;13555;RUB;56;1;;;19;;;;1;;;;;;;;;;;;;
Краситель Oil-gel 01 Розовый, жирорастворимый Kreda;KЖ1;KЖ1;RUB;89;1;;;5;;;;1;;;;;;;;;;;;;
Краситель Oil-gel 011 Черный, жирорастворимый Kreda;;;RUB;89;1;;;1;;;;1;;;;;;;;;;;;;
Краситель Oil-gel 02 Красный, жирорастворимый Kreda;KЖ2;KЖ2;RUB;89;1;;;1;;;;1;;;;;;;;;;;;;
Краситель Oil-gel 03 Оранжевый, жирорастворимый Kreda;KЖ3;KЖ3;RUB;89;1;;;8;;;;1;;;;;;;;;;;;;
Краситель Oil-gel 04 Желтый, жирорастворимый Kreda;KЖ4;KЖ4;RUB;89;1;;;3;;;;1;;;;;;;;;;;;;
Краситель Oil-gel 05 Зелёный, жирорастворимый Kreda;KЖ5;KЖ5;RUB;89;1;;;5;;;;1;;;;;;;;;;;;;
Краситель Oil-gel 06 Синий, жирорастворимый Kreda;KЖ6;KЖ6;RUB;89;1;;;5;;;;1;;;;;;;;;;;;;
Краситель Oil-gel 07 Голубой, жирорастворимый Kreda;KЖ7;KЖ7;RUB;89;1;;;3;;;;1;;;;;;;;;;;;;
Краситель Oil-gel 08 Сиреневый, жирорастворимый Kreda;;;RUB;89;1;;;5;;;;1;;;;;;;;;;;;;
Краситель Oil-gel 09 Фиолетовый, жирорастворимый Kreda;;;RUB;89;1;;;6;;;;1;;;;;;;;;;;;;
Краситель для окрашивания яиц Сливовый;;;RUB;36;1;;;1;;;;1;;;;;;;;;;;;;
Краситель жирорастворимый Желтый 20 гр;KPЖ2;KPЖ2;RUB;165;1;;;2;;;;1;;;;;;;;;;;;;
Краситель жирорастворимый Натуральный беж 20 гр;KPЖ1;KPЖ1;RUB;165;1;;;2;;;;1;;;;;;;;;;;;;
Краситель жирорастворимый Оранжевый 20 гр;KPЖ3;KPЖ3;RUB;165;1;;;4;;;;1;;;;;;;;;;;;;
Краситель жирорастворимый Сиреневый 20 гр;KPЖ6;KPЖ6;RUB;169;1;;;2;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Бордовый;12052;12052;RUB;100;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Гранат;12053;12053;RUB;100;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Жёлтый яркий;12049;12049;RUB;100;1;;;3;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Желтый;12048;12048;RUB;100;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Зеленое яблоко;12045;12045;RUB;100;1;;;4;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Клюквенный;12403;12403;RUB;100;1;;;4;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Красный;12046;12046;RUB;100;1;;;4;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Морская волна;12047;12047;RUB;100;1;;;4;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Оранжевый;12043;12043;RUB;100;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Персиковый;12401;12401;RUB;100;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Розовый;12044;12044;RUB;100;1;;;3;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Синий;12051;12051;RUB;100;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Синый блестящий;12050;12050;RUB;100;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Сиреневый;12402;12402;RUB;100;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Сливовый;12874;12874;RUB;120;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Тархун;12399;12399;RUB;100;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Терракотовый;12400;12400;RUB;100;1;;;6;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Фиолетовый;12054;12054;RUB;100;1;;;3;;;;1;;;;;;;;;;;;;
Краситель сухой вод. Шоколадный коричневый;12055;12055;RUB;100;1;;;4;;;;1;;;;;;;;;;;;;
Краситель сухой вод. чёрная смородина;12042;12042;RUB;100;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой жирорастворимый Бордовый;12061;12061;RUB;120;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой жирорастворимый Жёлтый яркий;12063;12063;RUB;120;1;;;3;;;;1;;;;;;;;;;;;;
Краситель сухой жирорастворимый Желтый;12062;12062;RUB;120;1;;;4;;;;1;;;;;;;;;;;;;
Краситель сухой жирорастворимый Клюквенный;12398;12398;RUB;140;1;;;2;;;;1;;;;;;;;;;;;;
Краситель сухой жирорастворимый Коричневый;12065;12065;RUB;120;1;;;3;;;;1;;;;;;;;;;;;;
Краситель сухой жирорастворимый Красный;12060;12060;RUB;120;1;;;3;;;;1;;;;;;;;;;;;;
Краситель сухой жирорастворимый Оранжевый;12066;12066;RUB;120;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой жирорастворимый Розовый;12067;12067;RUB;120;1;;;3;;;;1;;;;;;;;;;;;;
Краситель сухой жирорастворимый Сиреневый;13752;13752;RUB;140;1;;;3;;;;1;;;;;;;;;;;;;
Краситель сухой натуралный Желтый;12057;12057;RUB;120;1;;;5;;;;1;;;;;;;;;;;;;
Краситель сухой натуралный Красный кармин;12058;12058;RUB;120;1;;;4;;;;1;;;;;;;;;;;;;
Краситель сухой натуралный Ораанжевый аннато;12059;12059;RUB;120;1;;;5;;;;1;;;;;;;;;;;;;
Крахмал кукурузный 1 кг;0791;0791;RUB;180;1;;;5;;;;1;;;;;;;;;;;;;
Крем Чиз Cooking 2,25 кг;0168;0168;RUB;949;1;;;1;;;;1;;;;;;;;;;;;;
Крем Чиз Cooking 500 гр;13023;13023;RUB;259;1;;;9;;;;1;;;;;;;;;;;;;
Креманка Волна 95 мл;0552;0552;RUB;12;1;;;20;;;;1;;;;;;;;;;;;;
Креманка круглая 200 мл;0550;0550;RUB;18;1;;;90;;;;1;;;;;;;;;;;;;
Креманка круглая с разметкой 200 мл;12116;12116;RUB;15;1;;;601;;;;1;;;;;;;;;;;;;
Креманка с крышкой RANEKIN 200 мл;0540;0540;RUB;20;1;;;94;;;;1;;;;;;;;;;;;;
Крошка вафельная Callebaut 200 гр;11781;11781;RUB;279;1;;;5;;;;1;;;;;;;;;;;;;
Кружка сито маленький 250г;11970;11970;RUB;239;1;;;4;;;;1;;;;;;;;;;;;;
Кружка сито средная;11976;11976;RUB;299;1;;;4;;;;1;;;;;;;;;;;;;
Кружка-сито Болшая 500 мл;;;RUB;369;1;;;2;;;;1;;;;;;;;;;;;;
Ксантановая камедь 50гр;;;RUB;349;1;;;4;;;;1;;;;;;;;;;;;;
Кунжут белый 100гр;13658;13658;RUB;55;1;;;1;;;;1;;;;;;;;;;;;;
